id,id_name,nickname,job,sex,position,age_death,city,state,type
jopr,Joseph Profaci,Don Peppino,2,2,3,65,New York,NY,1
macl,Malcome Clarke,NA,1,2,1,88,Los Angeles,CA,1
jodi,Joe Di Maggio,Joe,4,2,1,85,Los Angeles,CA,1
shst,Sheila Stewart,NA,1,1,1,84,Los Angeles,CA,1
vimo,Vincent Mauro,NA,4,2,1,NA,New York City,NY,1
anst,Anthony C. Strollo,Tony Bender,2,2,3,63,New York City,NY,1
nast,Nate Stein,NA,4,2,1,NA,New York City,NY,1
euwa,Eugene Warner,NA,NA,2,NA,80,NA,NA,1
edvo,Edward Vogel,NA,2,2,2,NA,Chigago,IL,1
fede,Felix John De Tullio,NA,2,3,3,71,Los Angeles,CA,1
jodip,Joseph Charles Dippolito,Joe Dip,2,2,3,60,Los Angeles,CA,1
loan,Los Angeles Crime Family,Dragna crime family,2,2,NA,NA,Los Angeles,CA,2
anco,Anthony Consiglio,NA,1,2,1,NA,Connecticut,CT,1
edto,Edward Torres,NA,4,2,1,71,Chigago,IL,1
cama,Carlos Marcello,The Little Man,2,2,3,83,New Orleans,LA,1
satr,Santo Trafficante Jr.,Louie Santos,2,2,3,73,Tampa,FL,1
trfa,Trafficante Crime Family,Tampa Mafia,2,NA,NA,NA,Tampa,FL,2
neor,New Orleans Crime Family,Matranga-Familie,2,NA,NA,NA,New Orleans,LA,2
anci,Anthony Civella,Tony Ripe,2,2,2,76,New York City,NY,1
caci,Carl Civella,Cork,2,2,2,84,New York City,NY,1
nici,Nicholas Civella,Nick,2,2,3,71,NA,NA,1
padam,Patsy D´Amore,NA,NA,2,NA,67,NA,NA,1
mial,Miguel Alemán Valdés,Miguelito Alemán,4,2,1,82,Acapulto,NA,1
ansc,Anthony M. Scotto,Scotto,2,2,2,87,New York City,NY,1
joco,Joseph Colombo,Colombo,2,2,3,55,New York City,NY,1
sosi,Sol C. Siegel,NA,4,2,1,79,New York CIty,NY,1
eddu,Edward Dunbar,NA,NA,2,NA,78,NA,NA,1
jomo,Joseph De Modica,NA,NA,2,NA,NA,NA,NA,1
onca,Onofrio James Cavera Jr.,Big Jimmy,NA,2,NA,NA,NA,NA,1
frgu,Francesco Guglielmini,NA,NA,2,NA,NA,NA,NA,1
jogu,Joseph Guarnera,NA,NA,2,NA,NA,NA,NA,1
raca,Raffaele James Capone,Bottles,2,2,2,80,Chicago,IL,1
wimo,"William Morris Agency, Inc.",NA,NA,NA,NA,NA,NA,NA,3
orsh,Captain Orest Shevtzov,NA,NA,2,NA,NA,NA,NA,1
cono,Cosa Nostra,sizilianische Mafia,NA,NA,NA,NA,New York City,NY,2
phgu,Phyllis Mc Guire,NA,1,2,1,89,New York City,NY,1
jera,Jersay Rackets,NA,NA,NA,NA,NA,NA,NA,1
jony,Johnny,NA,NA,2,NA,NA,NA,NA,1
lule,Lucille Fay LeSueur,Joan Crawford,1,1,1,73,Los Angeles,CA,1
vifa,Vito Rocco Farinola,Vic Damone,1,2,1,89,NA,NA,1
wabr,Warner Brothers,NA,NA,NA,NA,NA,Burbank,CA,3
losc,Louis Scaglione,Lou Monte,1,2,1,72,Lyndhurst,NJ,1
xxfr,xx Francetti,NA,NA,NA,NA,NA,NA,NA,1
frst,Frank Sinatra Studios,NA,NA,NA,NA,NA,NA,NA,3
rios,Richard Osborne,NA,NA,2,1,NA,NA,NA,1
hacr,Harry Lillis Crosby,Bing Crosby,1,2,1,74,NA,NA,1
riba,Richard Bakalyan,NA,1,2,1,84,NA,NA,1
aris,Artanis,NA,NA,NA,NA,NA,NA,NA,3
frwe,Frederick R. Weisman,Fred Weisman,4,2,1,82,NA,NA,1
anca,Angelo DeCarlo,Gyp,2,2,2,71,New Jersey,NY,1
sawa,Sanford Waterman,Sandy,3,2,1,NA,Las Vegas,NV,1
rapa,Raymond Loreda Salvatore Patriarca,"Raymond Patriarca
",2,2,3,76,Providence,RI,1
joba,Joseph Barboza Jr.,The Animal,2,2,2,43,Boston,MA,1
enta,Enrico Tameleo,Henry,2,2,2,83,Boston,MA,1
frwei,Frank Weinstock,NA,4,2,1,NA,Palm Springs,CA,1
jear,Jerry Arvenitas,NA,NA,2,NA,NA,NA,NA,1
juim,Judith Eileen Katherine Immoor,Judith Exner,1,1,1,39,Los Angeles,CA,1
pada,Paul D'Amato,Skinny,1,2,1,75,Atlantic City,NY,1
gedu,Generoso Del Duca,NA,2,2,2,73,New York City,NY,1
